budget,production,country_kaggle,director,genre_kaggle,gross,name,rating,released,runtime,score_imdb,star_kaggle,votes_imdb,writer_kaggle,year,genres_omdb,writers_omdb,actors_omdb,plot,language_omdb,country_omdb,awards,poster,score_metacritic,type
35000000.0,Columbia Pictures Corporation,USA,Richard Donner,Drama,4651977.0,Radio Flyer,PG-13,1992-02-21,114,6.9,Lorraine Bracco,10947,David Mickey Evans,1992,,,,,,,,,,
8000000.0,Davis Entertainment,Australia,Stuart Gordon,Action,6739141.0,Fortress,R,1993-09-03,95,5.9,Christopher Lambert,24573,Troy Neighbors,1992,,,,,,,,,,
14000000.0,Cinema Plus,USA,Greg Beeman,Adventure,2034470.0,Mom and Dad Save the World,PG,1992-07-24,88,5.3,Teri Garr,3656,Chris Matheson,1992,,,,,,,,,,
0.0,Warner Bros.,USA,Christopher Cain,Drama,15164458.0,Pure Country,PG,1992-10-23,112,6.9,George Strait,3075,Rex McGee,1992,,,,,,,,,,
12000000.0,Pacific Western,USA,Brian De Palma,Crime,21370057.0,Raising Cain,R,1992-08-07,91,6.0,John Lithgow,10992,Brian De Palma,1992,,,,,,,,,,
3500000.0,Turner Pictures (I),USA,Phil Roman,Animation,3560469.0,The Tom and Jerry Movie,G,1993-07-30,84,5.3,Richard Kind,7519,Dennis Marks,1992,,,,,,,,,,
0.0,Gallery Films,USA,Aaron Norris,Action,17180393.0,Sidekicks,PG,1993-04-30,101,4.9,Chuck Norris,6775,Lou Illar,1992,,,,,,,,,,
0.0,Hollywood Pictures,USA,Sidney Lumet,Crime,12282994.0,A Stranger Among Us,PG-13,1992-07-17,110,5.7,Melanie Griffith,2947,Robert J. Avrech,1992,,,,,,,,,,
0.0,Alcor Films,Australia,John G. Avildsen,Drama,2827107.0,The Power of One,PG-13,1992-03-27,127,7.2,Stephen Dorff,7949,Bryce Courtenay,1992,,,,,,,,,,
0.0,Largo Entertainment,Japan,Jonathan Kaplan,Crime,57138719.0,Unlawful Entry,R,1992-06-26,117,6.3,Kurt Russell,11981,George Putnam,1992,,,,,,,,,,
40000000.0,Hollywood Pictures,USA,John McTiernan,Adventure,45500797.0,Medicine Man,PG-13,1992-02-07,106,6.0,Sean Connery,18461,Tom Schulman,1992,,,,,,,,,,
0.0,Morgan Creek Productions,USA,Peter Hyams,Adventure,10736401.0,Stay Tuned,PG,1992-08-14,88,6.1,John Ritter,8697,Tom S. Parker,1992,,,,,,,,,,
30000000.0,Universal Pictures,USA,George Miller,Drama,7286388.0,Lorenzo's Oil,PG-13,1993-01-29,129,7.2,Nick Nolte,17514,George Miller,1992,,,,,,,,,,
7000000.0,Challenge Film Corporation,UK,Tony Maylam,Action,5430822.0,Split Second,R,1992-05-01,90,6.2,Rutger Hauer,9103,Gary Scott Thompson,1992,,,,,,,,,,
18000000.0,Hollywood Pictures,USA,Alan J. Pakula,Crime,21591728.0,Consenting Adults,R,1992-10-16,99,5.7,Kevin Kline,5783,Matthew Chapman,1992,,,,,,,,,,
0.0,Hawn / Sylbert Movie Company,USA,Chris Menges,Crime,3052738.0,CrissCross,R,1992-05-08,100,5.8,Goldie Hawn,1383,Scott Sommer,1992,,,,,,,,,,
10000000.0,Twentieth Century Fox Film Corporation,USA,Dwight H. Little,Action,14356479.0,Rapid Fire,R,1992-08-21,95,6.3,Brandon Lee,6784,Cindy Cirile,1992,,,,,,,,,,
12000000.0,Touchstone Pictures,USA,Peter Bogdanovich,Comedy,2280148.0,Noises Off...,PG-13,1992-03-20,101,7.5,Michael Caine,8745,Michael Frayn,1992,,,,,,,,,,
42000000.0,Columbia Pictures Corporation,USA,Stephen Frears,Comedy,19507345.0,Hero,PG-13,1992-10-02,119,6.5,Dustin Hoffman,18627,Laura Ziskin,1992,,,,,,,,,,
27000000.0,Allied Filmmakers,France,Roland Joff�,Drama,14683921.0,City of Joy,PG-13,1992-04-17,132,6.4,Patrick Swayze,4193,Dominique Lapierre,1992,,,,,,,,,,
