name,awards,oscar_wins_and_nominations,other_wins,other_nominations,total_awards_and_nominations
Loving,Nominated for 1 Oscar. 24 wins & 89 nominations total,1,24,89,114
Lowriders,5 nominations.,0,0,5,5
Hasta el �ltimo hombre,,0,0,0,0
Sully,Nominated for 1 Oscar. 14 wins & 36 nominations total,1,14,36,51
London Has Fallen,1 win & 2 nominations.,0,1,2,3
La bruja de Blair,,0,0,0,0
The Infiltrator,1 nomination.,0,0,1,1
Boo! A Madea Halloween,6 nominations.,0,0,6,6
The Huntsman: Winter's War,16 nominations.,0,0,16,16
The Bad Batch,1 win & 3 nominations.,0,1,3,4
The Take,,0,0,0,0
The BFG,4 wins & 26 nominations.,0,4,26,30
Hell or High Water,Nominated for 4 Oscars. 46 wins & 171 nominations total,4,46,171,221
Collateral Beauty,1 win & 6 nominations.,0,1,6,7
The 5th Wave,1 nomination.,0,0,1,1
Collide,1 win & 1 nomination.,0,1,1,2
The Angry Birds Movie,1 win & 3 nominations.,0,1,3,4
Live by Night,3 nominations.,0,0,3,3
Complete Unknown,1 win & 4 nominations.,0,1,4,5
Toni Erdmann,Nominated for 1 Oscar. Another 58 wins & 83 nominations.,1,58,83,142
The Accountant,3 wins & 5 nominations.,0,3,5,8
The Lost City of Z,6 wins & 31 nominations.,0,6,31,37
The Great Wall,3 wins & 2 nominations.,0,3,2,5
Fantastic Beasts and Where to Find Them,Won 1 Oscar. Another 14 wins & 54 nominations.,1,14,54,69
Whiskey Tango Foxtrot,1 nomination,0,0,1,1
Kingsglaive: Final Fantasy XV,2 nominations,0,0,2,2
Fences,Won 1 Oscar. Another 56 wins & 120 nominations.,1,56,120,177
Inferno,4 wins & 1 nomination,0,4,1,5
Paterson,10 wins & 43 nominations.,0,10,43,53
Ghostbusters,Nominated for 2 Oscars. Another 7 wins & 6 nominations.,2,7,6,15
From the Land of the Moon,,0,0,0,0
Nerve,5 nominations.,0,0,5,5
Office Christmas Party,1 win & 1 nomination.,0,1,1,2
Popstar: Never Stop Never Stopping,1 win & 6 nominations,0,1,6,7
Miss Peregrine's Home for Peculiar Children,2 wins & 12 nominations.,0,2,12,14
Morgan,2 nominations.,0,0,2,2
Neighbors 2: Sorority Rising,3 wins & 5 nominations,0,3,5,8
Presencia siniestra,,0,0,0,0
Independence Day: Resurgence,3 wins & 17 nominations,0,3,17,20
A Hologram for the King,2 wins & 3 nominations.,0,2,3,5
Ben-Hur,Won 11 Oscars. Another 18 wins & 16 nominations.,11,18,16,45
Florence Foster Jenkins,Nominated for 2 Oscars. Another 10 wins & 45 nominations.,2,10,45,57
Gold,1 win & 5 nominations.,0,1,5,6
Moana,Nominated for 2 Oscars. 20 wins & 90 nominations total,2,20,90,112
Frantz,7 wins & 35 nominations.,0,7,35,42
Mothers and Daughters,1 win & 2 nominations,0,1,2,3
Indignation,8 nominations,0,0,8,8
Personal Shopper,9 wins & 24 nominations.,0,9,24,33
Free Fire,3 wins & 9 nominations,0,3,9,12
Pet,4 nominations,0,0,4,4
Pete's Dragon,3 wins & 7 nominations,0,3,7,10
Batman v Superman: Dawn of Justice,14 wins & 33 nominations.,0,14,33,47
Why Him?,1 win,0,1,0,1
Your name,,0,0,0,0
A Cure for Wellness,4 wins & 5 nominations.,0,4,5,9
Gods of Egypt,2 wins & 14 nominations.,0,2,14,16
20th Century Women,Nominated for 1 Oscar. Another 12 wins & 72 nominations.,1,12,72,85
Mother's Day,1 win & 6 nominations,0,1,6,7
Free State of Jones,3 wins & 4 nominations,0,3,4,7
Norman,1 win & 1 nomination.,0,1,1,2
The Other Side of the Door,2 wins & 3 nominations.,0,2,3,5
Neruda,Nominated for 1 Golden Globe. Another 11 wins & 35 nominations.,0,11,36,47
13 Hours,Nominated for 1 Oscar. 5 nominations total,0,1,5,6
Batman: The Killing Joke,1 win & 2 nominations.,0,1,2,3
Zootopia,Won 1 Oscar. Another 46 wins & 72 nominations.,1,46,72,119
Genius,1 win & 6 nominations.,0,1,6,7
The Magnificent Seven,5 wins & 12 nominations.,0,5,12,17
Ouija: Origin of Evil,2 wins & 7 nominations,0,2,7,9
My Big Fat Greek Wedding 2,3 nominations.,0,0,3,3
Finding Dory,Nominated for 1 BAFTA Film Award. Another 17 wins & 45 nominations.,0,17,46,63
31,2 wins & 8 nominations,0,2,8,10
The Nice Guys,9 wins & 34 nominations,0,9,34,43
10 Cloverfield Lane,16 wins & 48 nominations.,0,16,48,64
Our Kind of Traitor,4 nominations.,0,0,4,4
Midnight Special,3 wins & 14 nominations.,0,3,14,17
Goat,5 nominations,0,0,5,5
Moonlight,Won 3 Oscars. Another 219 wins & 292 nominations.,3,219,292,514
How to Be Single,3 nominations,0,0,3,3
Monster Trucks,2 nominations.,0,0,2,2
Mike and Dave Need Wedding Dates,4 nominations,0,0,4,4
Miracles from Heaven,2 wins & 5 nominations.,0,2,5,7
Nocturnal Animals,Nominated for 1 Oscar. Another 21 wins & 150 nominations.,1,21,150,172
Money Monster,2 nominations.,0,0,2,2
Zoolander 2,7 wins & 17 nominations.,0,7,17,24
Incarnate,,0,0,0,0
Pride and Prejudice and Zombies,1 win & 3 nominations,0,1,3,4
Mr. Church,3 nominations.,0,0,3,3
Paris Can Wait,,0,0,0,0
X-Men: Apocalypse,1 win & 19 nominations.,0,1,19,20
Everybody Wants Some!!,2 wins & 17 nominations,0,2,17,19
The Stanford Prison Experiment,4 wins & 3 nominations.,0,4,3,7
Youth,Nominated for 1 Oscar. Another 24 wins & 57 nominations.,1,24,57,82
True Story,4 nominations.,0,0,4,4
Synchronicity,1 win & 1 nomination.,0,1,1,2
Crimson Peak,6 wins & 42 nominations.,0,6,42,48
Knight of Cups,4 wins & 9 nominations,0,4,9,13
Insurgent,4 wins & 17 nominations.,0,4,17,21
Los 33,,0,0,0,0
Crimenes ocultos,,0,0,0,0
Joy,Nominated for 1 Oscar. Another 8 wins & 22 nominations.,1,8,22,31
Our Brand Is Crisis,2 nominations,0,0,2,2
Mortdecai,1 win & 9 nominations.,0,1,9,10
Terminator Genisys,10 nominations.,0,0,10,10
American Ultra,,0,0,0,0
Into the Forest,2 wins & 3 nominations.,0,2,3,5
Creed,Nominated for 1 Oscar. 44 wins & 65 nominations total,1,44,65,110
Tale of Tales,21 wins & 15 nominations.,0,21,15,36
Focus,3 nominations.,0,0,3,3
I'll See You in My Dreams,8 nominations,0,0,8,8
Conspiraci�n y poder,,0,0,0,0
Ted 2,3 wins & 4 nominations.,0,3,4,7
Cop Car,1 win & 4 nominations,0,1,4,5
Tomorrowland,2 wins & 19 nominations.,0,2,19,21
Tangerine,25 wins & 43 nominations,0,25,43,68
The Age of Adaline,1 win & 10 nominations,0,1,10,11
The Intern,1 win & 8 nominations,0,1,8,9
3 Generations,1 nomination,0,0,1,1
Cinderella,Nominated for 1 Oscar. 8 wins & 37 nominations total,1,8,37,46
The Overnight,1 win & 3 nominations.,0,1,3,4
Jurassic World,15 wins & 58 nominations.,0,15,58,73
The Wedding Ringer,2 wins & 4 nominations.,0,2,4,6
The Perfect Guy,2 wins & 3 nominations.,0,2,3,5
Captive,3 nominations,0,0,3,3
Jupiter Ascending,4 wins & 16 nominations.,0,4,16,20
Home,3 wins & 9 nominations.,0,3,9,12
Furious 7,35 wins & 36 nominations.,0,35,36,71
High-Rise,6 wins & 14 nominations.,0,6,14,20
The Hateful Eight,Won 1 Oscar. 43 wins & 116 nominations total,1,43,116,160
The Walk,3 wins & 17 nominations,0,3,17,20
Mr. Holmes,19 nominations.,0,0,19,19
The Family Fang,1 win & 1 nomination.,0,1,1,2
La �ltima ola,,0,0,0,0
M�s fuerte que las bombas,,0,0,0,0
The Visit,1 win & 14 nominations.,0,1,14,15
"Hello, My Name Is Doris",2 wins & 11 nominations.,0,2,11,13
The Vatican Tapes,,0,0,0,0
Mustang: belleza salvaje,,0,0,0,0
Bridge of Spies,Won 1 Oscar. Another 29 wins & 103 nominations.,1,29,103,133
