name,awards,oscar_wins_and_nominations,other_wins,other_nominations,total_awards_and_nominations
Tropic Thunder,Nominated for 1 Oscar. Another 10 wins & 46 nominations.,1,10,46,57
College Road Trip,1 nomination.,0,0,1,1
Nothing But the Truth,2 wins & 2 nominations.,0,2,2,4
"Synecdoche, New York",8 wins & 29 nominations,0,8,29,37
Indiana Jones and the Kingdom of the Crystal Skull,Nominated for 1 BAFTA Film Award. Another 10 wins & 41 nominations.,0,10,42,52
Forgetting Sarah Marshall,4 wins & 19 nominations,0,4,19,23
The Edge of Love,1 win & 2 nominations.,0,1,2,3
21,1 win & 5 nominations,0,1,5,6
Zack and Miri Make a Porno,2 wins & 4 nominations,0,2,4,6
Be Kind Rewind,4 nominations.,0,0,4,4
The Reader,Won 1 Oscar. 26 wins & 48 nominations total,1,26,48,75
Leatherheads,1 win & 3 nominations.,0,1,3,4
Appaloosa,4 wins.,0,4,0,4
Traitor,5 nominations.,0,0,5,5
The Oxford Murders,6 wins & 5 nominations,0,6,5,11
Nim's Island,2 wins & 3 nominations.,0,2,3,5
Nights in Rodanthe,1 nomination,0,0,1,1
The Duchess,Won 1 Oscar. Another 7 wins & 21 nominations.,1,7,21,29
Jumper,2 wins & 5 nominations,0,2,5,7
Nick and Norah's Infinite Playlist,9 nominations,0,0,9,9
Ni en tu casa ni en la m�a,,0,0,0,0
The Women,4 wins & 4 nominations.,0,4,4,8
"New York, I Love You",1 nomination,0,0,1,1
How to Lose Friends & Alienate People,,0,0,0,0
What Happens in Vegas,5 nominations,0,0,5,5
Max Payne,1 nomination,0,0,1,1
Vantage Point,2 wins & 2 nominations.,0,2,2,4
In Bruges,Nominated for 1 Oscar. Another 24 wins & 54 nominations.,1,24,54,79
Miracle at St. Anna,1 win & 10 nominations.,0,1,10,11
Vicky Cristina Barcelona,Won 1 Oscar. 32 wins & 54 nominations total,1,32,54,87
Me and Orson Welles,Nominated for 1 BAFTA Film Award. Another 5 wins & 26 nominations.,0,5,27,32
Eagle Eye,3 wins & 8 nominations,0,3,8,11
What Just Happened,1 nomination.,0,0,1,1
Punisher: War Zone,1 win & 1 nomination,0,1,1,2
The Tale of Despereaux,1 win & 8 nominations,0,1,8,9
Milk,Won 2 Oscars. Another 64 wins & 144 nominations.,2,64,144,210
Easy Virtue,2 wins & 6 nominations.,0,2,6,8
RocknRolla,1 win & 5 nominations.,0,1,5,6
Prom Night,1 win & 4 nominations.,0,1,4,5
The House Bunny,2 nominations.,0,0,2,2
Quarantine,6 nominations.,0,0,6,6
Mad Money,2 nominations.,0,0,2,2
Kung Fu Panda,Nominated for 1 Oscar. Another 14 wins & 38 nominations.,1,14,38,53
Doubt,Nominated for 5 Oscars. 25 wins & 96 nominations total,5,25,96,126
The Haunting of Molly Hartley,1 nomination.,0,0,1,1
Pretty Ugly People,2 wins.,0,2,0,2
Saw V,1 win & 2 nominations,0,1,2,3
Pride and Glory,2 nominations,0,0,2,2
Mirrors,2 nominations.,0,0,2,2
Bottle Shock,1 nomination,0,0,1,1
Valkyrie,3 wins & 11 nominations.,0,3,11,14
Dream Boy,2 wins,0,2,0,2
Australia,Nominated for 1 Oscar. Another 12 wins & 35 nominations.,1,12,35,48
The Sisterhood of the Traveling Pants 2,1 nomination,0,0,1,1
Drillbit Taylor,1 win & 2 nominations.,0,1,2,3
The Hottie & the Nottie,4 wins & 4 nominations.,0,4,4,8
Quantum of Solace,Nominated for 2 BAFTA Film Awards. Another 4 wins & 30 nominations.,0,4,32,36
Meet Dave,2 wins & 3 nominations.,0,2,3,5
Doomsday,1 nomination,0,0,1,1
Babylon A.D.,1 nomination.,0,0,1,1
Gran Torino,21 wins & 22 nominations.,0,21,22,43
The Incredible Hulk,1 win & 10 nominations.,0,1,10,11
The Stoning of Soraya M.,8 wins & 8 nominations.,0,8,8,16
Wanted,Nominated for 2 Oscars. 4 wins & 25 nominations total,2,4,25,31
Red Cliff,14 wins & 44 nominations.,0,14,44,58
The Informers,,0,0,0,0
El libro m�gico,,0,0,0,0
Body of Lies,2 nominations.,0,0,2,2
"War, Inc.",1 nomination.,0,0,1,1
Repo! The Genetic Opera,3 wins & 1 nomination.,0,3,1,4
Baby Mama,1 win & 5 nominations.,0,1,5,6
El transportador 3,,0,0,0,0
Redbelt,1 nomination.,0,0,1,1
Elegy,3 wins & 5 nominations,0,3,5,8
Waltz with Bashir,Nominated for 1 Oscar. Another 45 wins & 62 nominations.,1,45,62,108
The Spirit,4 nominations,0,0,4,4
Bolt,Nominated for 1 Oscar. Another 1 win & 31 nominations.,1,1,31,33
Righteous Kill,1 win & 2 nominations.,0,1,2,3
W.,1 win & 8 nominations.,0,1,8,9
WALL�E,Won 1 Oscar. Another 92 wins & 95 nominations.,1,92,95,188
Horton Hears a Who!,1 win & 18 nominations.,0,1,18,19
"Welcome Home, Roscoe Jenkins",,0,0,0,0
Eden Lake,9 wins & 8 nominations.,0,9,8,17
The Hurt Locker,Won 6 Oscars. 125 wins & 130 nominations total,6,125,130,261
Iron Man,Nominated for 2 Oscars. Another 21 wins & 71 nominations.,2,21,71,94
Meet the Spartans,6 nominations.,0,0,6,6
The Spiderwick Chronicles,2 wins & 8 nominations.,0,2,8,10
Rachel Getting Married,Nominated for 1 Oscar. Another 32 wins & 64 nominations.,1,32,64,97
The Strangers,1 win & 15 nominations.,0,1,15,16
Meet the Browns,3 nominations.,0,0,3,3
Rambo 4: Regreso al Infierno,,0,0,0,0
Revolutionary Road,Nominated for 3 Oscars. Another 20 wins & 70 nominations.,3,20,70,93
Good Dick,1 win & 1 nomination.,0,1,1,2
The Happening,3 wins & 10 nominations.,0,3,10,13
The Secret Life of Bees,11 wins & 17 nominations.,0,11,17,28
Bangkok Dangerous,1 nomination.,0,0,1,1
Bronson,3 wins & 7 nominations.,0,3,7,10
Pineapple Express,2 wins & 15 nominations.,0,2,15,17
Igor,1 nomination.,0,0,1,1
The Good the Bad the Weird,12 wins & 27 nominations.,0,12,27,39
The Love Guru,5 wins & 8 nominations,0,5,8,13
Slumdog Millionaire,Won 8 Oscars. Another 145 wins & 133 nominations.,8,145,133,286
"Definitely, Maybe",1 win & 1 nomination.,0,1,1,2
Defiance,Nominated for 1 Oscar. 2 wins & 5 nominations total,1,2,5,8
Felon,,0,0,0,0
Happy-Go-Lucky,Nominated for 1 Oscar. Another 39 wins & 62 nominations.,1,39,62,102
Pathology,,0,0,0,0
Deception,1 nomination,0,0,1,1
Made of Honor,1 win & 1 nomination.,0,1,1,2
The Ruins,7 nominations,0,0,7,7
Soul Men,3 nominations.,0,0,3,3
Mesrine Part 1: Killer Instinct,,0,0,0,0
Speed Racer,1 win & 12 nominations.,0,1,12,13
Madagascar: Escape 2 Africa,4 wins & 11 nominations,0,4,11,15
Burn After Reading,8 wins & 32 nominations total,0,8,32,40
Un par nada ejemplar,,0,0,0,0
Fireflies in the Garden,1 nomination.,0,0,1,1
Fireproof,1 win.,0,1,0,1
The Rocker,,0,0,0,0
First Sunday,,0,0,0,0
Harold & Kumar Escape from Guantanamo Bay,,0,0,0,0
B�squeda implacable,,0,0,0,0
Hancock,4 wins & 14 nominations.,0,4,14,18
Mamma Mia!,15 wins & 25 nominations.,0,15,25,40
Brideshead Revisited,11 nominations,0,0,11,11
Semi-Pro,1 win & 4 nominations.,0,1,4,5
Ponyo,12 wins & 20 nominations.,0,12,20,32
Sex Drive,,0,0,0,0
Untraceable,1 win,0,1,0,1
Miss Pettigrew Lives for a Day,1 nomination.,0,0,1,1
Marley & Me,Nominated for 1 BAFTA Film Award. Another 1 win & 7 nominations.,0,1,8,9
Sex and the City,2 wins & 12 nominations,0,2,12,14
Disaster Movie,1 win & 6 nominations.,0,1,6,7
Lakeview Terrace,1 nomination,0,0,1,1
Hamlet 2,3 nominations.,0,0,3,3
Donkey Punch,5 nominations,0,0,5,5
Shutter,1 win & 1 nomination.,0,1,1,2
Seven Pounds,4 wins & 7 nominations.,0,4,7,11
Wild Child,,0,0,0,0
Harry Potter and the Order of the Phoenix,Nominated for 2 BAFTA Film Awards. Another 16 wins & 45 nominations.,0,16,47,63
License to Wed,1 nomination.,0,0,1,1
Michael Clayton,Won 1 Oscar. Another 27 wins & 114 nominations.,1,27,114,142
Gone Baby Gone,Nominated for 1 Oscar. Another 33 wins & 31 nominations.,1,33,31,65
I Know Who Killed Me,8 wins & 4 nominations,0,8,4,12
Hot Fuzz,2 wins & 9 nominations.,0,2,9,11
Ghost Rider,1 win & 11 nominations.,0,1,11,12
Halloween,8 wins & 2 nominations.,0,8,2,10
Like Stars on Earth,,0,0,0,0
Hounddog,2 wins & 1 nomination.,0,2,1,3
Mongol: The Rise of Genghis Khan,Nominated for 1 Oscar. Another 15 wins & 11 nominations.,1,15,11,27
Martian Child,2 nominations,0,0,2,2
Juno,Won 1 Oscar. Another 88 wins & 99 nominations.,1,88,99,188
I Now Pronounce You Chuck & Larry,14 nominations.,0,0,14,14
La Vie en Rose,,0,0,0,0
Mi mascota es un monstruo,,0,0,0,0
Good Luck Chuck,1 win & 3 nominations.,0,1,3,4
Grindhouse,10 wins & 22 nominations,0,10,22,32
In the Valley of Elah,Nominated for 1 Oscar. Another 3 wins & 20 nominations.,1,3,20,24
Lions for Lambs,3 nominations.,0,0,3,3
Live Free or Die Hard,3 wins & 16 nominations,0,3,16,19
I Think I Love My Wife,1 nomination,0,0,1,1
Hannibal Rising,2 nominations,0,0,2,2
In the Land of Women,,0,0,0,0
Knocked Up,8 wins & 26 nominations.,0,8,26,34
Hitman - Agente 47,,0,0,0,0
Love in the Time of Cholera,Nominated for 1 Golden Globe. Another 3 nominations.,0,0,4,4
I Am Legend,9 wins & 23 nominations,0,9,23,32
Mr. Bean's Holiday,2 nominations.,0,0,2,2
Mr. Brooks,2 nominations,0,0,2,2
Lars and the Real Girl,Nominated for 1 Oscar. Another 7 wins & 35 nominations.,1,7,35,43
Meet the Robinsons,1 win & 10 nominations,0,1,10,11
In the Name of the King: A Dungeon Siege Tale,4 wins & 5 nominations.,0,4,5,9
Lucky You,2 nominations.,0,0,2,2
"Lust, Caution",Nominated for 1 Golden Globe. Another 29 wins & 54 nominations.,0,29,55,84
Margot at the Wedding,3 wins & 13 nominations.,0,3,13,16
Hot Rod,2 nominations,0,0,2,2
Into the Wild,Nominated for 2 Oscars. 23 wins & 106 nominations total,2,23,106,131
Mother of Tears,1 nomination.,0,0,1,1
Mr. Magorium's Wonder Emporium,3 nominations.,0,0,3,3
Hostel: Part II,10 nominations.,0,0,10,10
Mr. Woodcock,,0,0,0,0
Mi historia sin mi,,0,0,0,0
Stomp the Yard,9 nominations.,0,0,9,9
Are We Done Yet?,3 nominations.,0,0,3,3
Shrek the Third,Nominated for 1 BAFTA Film Award. Another 5 wins & 16 nominations.,0,5,17,22
The Invasion,1 win & 2 nominations,0,1,2,3
The Hunting Party,,0,0,0,0
Sex and Death 101,1 win.,0,1,0,1
American Gangster,Nominated for 2 Oscars. Another 12 wins & 36 nominations.,2,12,36,50
Disturbia,5 wins & 7 nominations,0,5,7,12
Shelter,11 wins.,0,11,0,11
Shoot 'Em Up,3 nominations.,0,0,3,3
Boy A,13 wins & 11 nominations.,0,13,11,24
Shooter,2 nominations.,0,0,2,2
We Own the Night,2 wins & 6 nominations.,0,2,6,8
Transformers,Nominated for 3 Oscars. 25 wins & 50 nominations total,3,25,50,78
A Mighty Heart,4 wins & 18 nominations,0,4,18,22
Diary of the Dead,1 win & 1 nomination.,0,1,1,2
The Hills Have Eyes II,,0,0,0,0
War,1 nomination,0,0,1,1
Bratz,5 nominations.,0,0,5,5
Descent,,0,0,0,0
Sleuth,Nominated for 4 Oscars. Another 5 wins & 7 nominations.,4,5,7,16
Breach,1 win & 3 nominations,0,1,3,4
Smiley Face,1 nomination.,0,0,1,1
The Invisible,1 nomination.,0,0,1,1
Saw IV,2 wins & 7 nominations,0,2,7,9
Snow Angels,1 win & 4 nominations.,0,1,4,5
Rogue,1 win & 4 nominations.,0,1,4,5
Reservation Road,1 win & 2 nominations.,0,1,2,3
Resident Evil: Extinction,2 wins & 2 nominations.,0,2,2,4
Retrato de amor,,0,0,0,0
El asesino de John Lennon,,0,0,0,0
The Last Mimzy,7 nominations.,0,0,7,7
Rewind,2 wins & 4 nominations,0,2,4,6
The Last Legion,2 nominations.,0,0,2,2
88 Minutes,3 nominations.,0,0,3,3
Rocket Science,2 wins & 7 nominations,0,2,7,9
Eastern Promises,Nominated for 1 Oscar. Another 28 wins & 73 nominations.,1,28,73,102
Eagle vs Shark,6 wins & 4 nominations,0,6,4,10
The Jane Austen Book Club,2 nominations.,0,0,2,2
Blades of Glory,3 wins & 10 nominations,0,3,10,13
Wind Chill,,0,0,0,0
"Run, Fatboy, Run",3 nominations.,0,0,3,3
The Kite Runner,Nominated for 1 Oscar. Another 6 wins & 24 nominations.,1,6,24,31
Rush Hour 3,9 nominations,0,0,9,9
Wild Hogs,1 win & 4 nominations.,0,1,4,5
Why Did I Get Married?,,0,0,0,0
Dragon Wars: D-War,,0,0,0,0
Blood and Chocolate,,0,0,0,0
The Heartbreak Kid,1 win.,0,1,0,1
Son of Rambow,3 wins & 10 nominations.,0,3,10,13
Reno 911!: Miami,,0,0,0,0
The Assassination of Jesse James by the Coward Robert Ford,Nominated for 2 Oscars. Another 26 wins & 68 nominations.,2,26,68,96
Talk to Me,8 wins & 14 nominations.,0,8,14,22
The Diving Bell and the Butterfly,,0,0,0,0
Cassandra's Dream,,0,0,0,0
Vacancy,1 win & 2 nominations,0,1,2,3
Teeth,2 wins & 10 nominations.,0,2,10,12
Un verano para toda la vida,,0,0,0,0
Across the Universe,Nominated for 1 Oscar. 2 wins & 18 nominations total,1,2,18,21
Control,Nominated for 1 BAFTA Film Award. Another 31 wins & 34 nominations.,0,31,35,66
The Air I Breathe,,0,0,0,0
The Darjeeling Limited,4 wins & 4 nominations,0,4,4,8
Charlie Bartlett,1 win,0,1,0,1
TMNT: Las Tortugas Ninja,,0,0,0,0
Charlie Wilson's War,Nominated for 1 Oscar. Another 5 wins & 22 nominations.,1,5,22,28
The Babysitters,,0,0,0,0
The Counterfeiters,,0,0,0,0
The Condemned,1 nomination.,0,0,1,1
The Bourne Ultimatum,Won 3 Oscars. 29 wins & 42 nominations total,3,29,42,74
The Brave One,Nominated for 1 Golden Globe. Another 1 win & 6 nominations.,0,1,7,8
The Comebacks,1 nomination.,0,0,1,1
Underdog,3 nominations,0,0,3,3
The Bucket List,3 wins & 4 nominations,0,3,4,7
Under the Same Moon,8 wins & 2 nominations.,0,8,2,10
Crimen sin perd�n,,0,0,0,0
Sydney White,,0,0,0,0
Bridge to Terabithia,6 wins & 5 nominations.,0,6,5,11
The Great Debaters,10 wins & 10 nominations,0,10,10,20
Alvin and the Chipmunks,3 wins & 2 nominations.,0,3,2,5
Death Sentence,3 nominations.,0,0,3,3
Spider-Man 3,Nominated for 1 BAFTA Film Award. Another 4 wins & 43 nominations.,0,4,44,48
Dead Silence,,0,0,0,0
Walk Hard: The Dewey Cox Story,1 win & 6 nominations.,0,1,6,7
Waitress,6 wins & 16 nominations.,0,6,16,22
Stardust,5 wins & 11 nominations.,0,5,11,16
The Golden Compass,Won 1 Oscar. Another 6 wins & 32 nominations.,1,6,32,39
Sweeney Todd: The Demon Barber of Fleet Street,Won 1 Oscar. Another 33 wins & 77 nominations.,1,33,77,111
The Game Plan,3 nominations.,0,0,3,3
Dan in Real Life,4 nominations,0,0,4,4
Daddy's Little Girls,1 nomination.,0,0,1,1
Sukiyaki Western Django,4 wins & 5 nominations,0,4,5,9
Superbad,11 wins & 24 nominations,0,11,24,35
Aliens vs. Predator: Requiem,5 nominations.,0,0,5,5
Captivity,1 win & 4 nominations.,0,1,4,5
Surf's Up,Nominated for 1 Oscar. Another 2 wins & 17 nominations.,1,2,17,20
The Kingdom,5 nominations.,0,0,5,5
Rendition,3 nominations,0,0,3,3
P2,1 nomination.,0,0,1,1
Balls of Fury,,0,0,0,0
The Savages,Nominated for 2 Oscars. 17 wins & 33 nominations total,2,17,33,52
2 Days in Paris,2 wins & 5 nominations,0,2,5,7
Paranormal Activity,3 wins & 12 nominations.,0,3,12,15
Pathfinder,1 nomination.,0,0,1,1
Reign Over Me,3 nominations.,0,0,3,3
Battle in Seattle,1 win & 4 nominations.,0,1,4,5
The Reaping,1 nomination,0,0,1,1
Perfect Stranger,1 nomination,0,0,1,1
Pers�polis,,0,0,0,0
Then She Found Me,3 wins & 1 nomination.,0,3,1,4
There Will Be Blood,Won 2 Oscars. Another 114 wins & 137 nominations.,2,114,137,253
Pirates of the Caribbean: At World's End,Nominated for 2 Oscars. 22 wins & 51 nominations total,2,22,51,75
Because I Said So,1 nomination.,0,0,1,1
Things We Lost in the Fire,3 wins & 2 nominations.,0,3,2,5
Fantastic 4: Rise of the Silver Surfer,3 wins & 17 nominations.,0,3,17,20
Becoming Jane,3 wins & 6 nominations,0,3,6,9
Bee Movie,1 win & 15 nominations,0,1,15,16
Postal,1 win & 3 nominations.,0,1,3,4
Before the Devil Knows You're Dead,17 wins & 27 nominations,0,17,27,44
P.S. I Love You,2 wins & 4 nominations.,0,2,4,6
Premonition,2 nominations.,0,0,2,2
The Seeker: The Dark Is Rising,,0,0,0,0
Music and Lyrics,6 nominations,0,0,6,6
The Visitor,Nominated for 1 Oscar. Another 19 wins & 34 nominations.,1,19,34,54
Georgia Rule,3 wins & 5 nominations,0,3,5,8
Nancy Drew,7 nominations.,0,0,7,7
Atonement,Won 1 Oscar. Another 50 wins & 149 nominations.,1,50,149,200
National Treasure: Book of Secrets,1 win & 5 nominations.,0,1,5,6
August Rush,Nominated for 1 Oscar. Another 4 wins & 10 nominations.,1,4,10,15
Funny Games,1 win & 6 nominations.,0,1,6,7
Next,2 wins & 3 nominations.,0,2,3,5
Awake,1 win & 3 nominations.,0,1,3,4
1408,4 wins & 12 nominations,0,4,12,16
No Country for Old Men,Won 4 Oscars. Another 159 wins & 140 nominations.,4,159,140,303
No Reservations,1 nomination.,0,0,1,1
Fred Claus,,0,0,0,0
Noches p�rpuras,,0,0,0,0
Norbit,Nominated for 1 Oscar. Another 8 wins & 8 nominations.,1,8,8,17
Fracture,1 win & 2 nominations.,0,1,2,3
Ocean's Thirteen,1 win & 5 nominations.,0,1,5,6
Zodiac,4 wins & 72 nominations.,0,4,72,76
Once,Won 1 Oscar. Another 23 wins & 32 nominations.,1,23,32,56
The Simpsons Movie,Nominated for 1 Golden Globe. Another 5 wins & 33 nominations.,0,5,34,39
This Christmas,4 nominations.,0,0,4,4
Feast of Love,,0,0,0,0
The Nines,2 nominations.,0,0,2,2
Redline,1 win & 3 nominations.,0,1,3,4
Towelhead,1 win & 3 nominations.,0,1,3,4
The Lookout,1 win & 11 nominations,0,1,11,12
3:10 to Yuma,Nominated for 2 Oscars. Another 3 wins & 30 nominations.,2,3,30,35
Enchanted,Nominated for 3 Oscars. 12 wins & 51 nominations total,3,12,51,66
Timber Falls,,0,0,0,0
30 Days of Night,14 nominations.,0,0,14,14
Escritores de la libertad,,0,0,0,0
Beowulf,3 wins & 19 nominations,0,3,19,22
Evan Almighty,2 wins & 11 nominations.,0,2,11,13
The Number 23,5 nominations.,0,0,5,5
The Mist,6 wins & 13 nominations,0,6,13,19
Evening,3 nominations.,0,0,3,3
28 Weeks Later,3 wins & 16 nominations.,0,3,16,19
Ratatouille,Won 1 Oscar. Another 66 wins & 42 nominations.,1,66,42,109
The Nanny Diaries,1 win & 2 nominations.,0,1,2,3
Youth Without Youth,1 win & 1 nomination,0,1,1,2
Epic Movie,2 wins & 3 nominations.,0,2,3,5
The Messengers,1 win & 2 nominations,0,1,2,3
The Orphanage,32 wins & 43 nominations.,0,32,43,75
Elizabeth: The Golden Age,Won 1 Oscar. Another 6 wins & 33 nominations.,1,6,33,40
The Marine,,0,0,0,0
Apocalypto,Nominated for 3 Oscars. Another 9 wins & 20 nominations.,3,9,20,32
Ultraviolet,1 win & 2 nominations.,0,1,2,3
The Wicker Man,2 wins & 6 nominations,0,2,6,8
Just My Luck,7 nominations.,0,0,7,7
John Tucker Must Die,2 wins & 2 nominations.,0,2,2,4
Cars,Nominated for 2 Oscars. Another 28 wins & 32 nominations.,2,28,32,62
Big Momma's House 2,1 win & 5 nominations.,0,1,5,6
Aquamarine,1 win & 5 nominations.,0,1,5,6
The Last Kiss,1 win & 4 nominations.,0,1,4,5
Casino Royale,Won 1 BAFTA Film Award. Another 26 wins & 44 nominations.,0,27,44,71
Babel,Won 1 Oscar. Another 42 wins & 136 nominations.,1,42,136,179
Ice Age: The Meltdown,8 wins & 16 nominations,0,8,16,24
Catch and Release,,0,0,0,0
Cashback,3 wins.,0,3,0,3
The Last King of Scotland,Won 1 Oscar. 49 wins & 32 nominations total,1,49,32,82
Lejos de ella,,0,0,0,0
Behind the Mask: The Rise of Leslie Vernon,5 wins & 3 nominations,0,5,3,8
The Devil Wears Prada,Nominated for 2 Oscars. Another 19 wins & 51 nominations.,2,19,51,72
Unaccompanied Minors,1 win & 3 nominations.,0,1,3,4
Black Book,Nominated for 1 BAFTA Film Award. Another 13 wins & 22 nominations.,0,13,23,36
Arthur and the Invisibles,,0,0,0,0
The Unknown Woman,21 wins & 26 nominations.,0,21,26,47
The Ultimate Gift,3 wins.,0,3,0,3
Black Christmas,2 wins & 2 nominations.,0,2,2,4
Idiocracy,1 nomination,0,0,1,1
The Covenant,,0,0,0,0
Charlotte's Web,10 wins & 11 nominations.,0,10,11,21
The Departed,Won 4 Oscars. 97 wins & 141 nominations total,4,97,141,242
The Lives of Others,Won 1 Oscar. Another 79 wins & 38 nominations.,1,79,38,118
The Da Vinci Code,8 wins & 21 nominations.,0,8,21,29
Black Snake Moan,1 win & 7 nominations,0,1,7,8
The Texas Chainsaw Massacre: The Beginning,6 nominations.,0,0,6,6
The Dead Girl,2 wins & 4 nominations.,0,2,4,6
Letters from Iwo Jima,Won 1 Oscar. Another 23 wins & 39 nominations.,1,23,39,63
Amores asesinos,,0,0,0,0
Let's Go to Prison,,0,0,0,0
Alex Rider: Operation Stormbreaker,,0,0,0,0
Candy,6 wins & 17 nominations,0,6,17,23
Last Holiday,7 nominations.,0,0,7,7
Hollywoodland,Nominated for 1 Golden Globe. Another 3 wins & 7 nominations.,0,3,8,11
The Queen,Won 1 Oscar. 96 wins & 97 nominations total,1,96,97,194
Breaking and Entering,6 nominations.,0,0,6,6
The Pursuit of Happyness,Nominated for 1 Oscar. Another 12 wins & 25 nominations.,1,12,25,38
La Granja,6 wins & 1 nomination.,0,6,1,7
Hombre lobo,,0,0,0,0
The Omen,Won 1 Oscar. Another 4 wins & 8 nominations.,1,4,8,13
The Hills Have Eyes,2 wins & 13 nominations,0,2,13,15
Bobby,6 wins & 25 nominations.,0,6,25,31
The History Boys,Nominated for 2 BAFTA Film Awards. Another 2 wins & 13 nominations.,0,2,15,17
Tristan + Isolde,,0,0,0,0
The Illusionist,Nominated for 1 Oscar. 11 wins & 12 nominations total,1,11,12,24
The Prestige,Nominated for 2 Oscars. 6 wins & 45 nominations total,2,6,45,53
Beerfest,1 win & 3 nominations.,0,1,3,4
The Pink Panther,1 win & 8 nominations.,0,1,8,9
Amazing Grace,3 wins & 6 nominations.,0,3,6,9
The Holiday,2 wins & 11 nominations,0,2,11,13
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Nominated for 1 Oscar. 20 wins & 34 nominations total,1,20,34,55
American Dreamz,1 nomination.,0,0,1,1
La Dalia Negra,,0,0,0,0
Lady in the Water,10 wins & 11 nominations,0,10,11,21
The Fall,4 wins & 11 nominations.,0,4,11,15
Annapolis,,0,0,0,0
The Fast and the Furious: Tokyo Drift,1 win & 4 nominations.,0,1,4,5
All the King's Men,2 wins & 4 nominations,0,2,4,6
The Sentinel,2 nominations,0,0,2,2
The Foot Fist Way,1 win.,0,1,0,1
Turistas,1 win & 1 nomination,0,1,1,2
The Lake House,2 wins & 2 nominations,0,2,2,4
Blind Dating,,0,0,0,0
The Fountain,9 wins & 39 nominations,0,9,39,48
The Good German,Nominated for 1 Oscar. Another 3 wins & 4 nominations.,1,3,4,8
Bug,1 win & 6 nominations,0,1,6,7
The Good Shepherd,Nominated for 1 Oscar. 2 wins & 13 nominations total,1,2,13,16
The Namesake,5 wins & 6 nominations.,0,5,6,11
The Science of Sleep,,0,0,0,0
The Santa Clause 3: The Escape Clause,4 wins & 9 nominations.,0,4,9,13
Basic Instinct 2,8 wins & 6 nominations,0,8,6,14
Al otro lado del mundo,,0,0,0,0
The Grudge 2,3 nominations.,0,0,3,3
Children of Men,Nominated for 3 Oscars. Another 49 wins & 86 nominations.,3,49,86,138
Inside Man,5 wins & 12 nominations.,0,5,12,17
Akeelah and the Bee,11 wins & 15 nominations.,0,11,15,26
X-Men III: La batalla final,,0,0,0,0
Mi mascota es un zombie,,0,0,0,0
Employee of the Month,2 nominations.,0,0,2,2
Miami Vice,1 win & 9 nominations,0,1,9,10
Grandma's Boy,1 nomination.,0,0,1,1
300,19 wins & 55 nominations.,0,19,55,74
Goya's Ghosts,2 wins & 5 nominations.,0,2,5,7
Eragon,1 win & 6 nominations,0,1,6,7
RV,1 win & 2 nominations,0,1,2,3
"You, Me and Dupree",3 wins & 2 nominations.,0,3,2,5
Everyone's Hero,,0,0,0,0
Priceless,1 win & 1 nomination.,0,1,1,2
Rescue Dawn,1 win & 6 nominations.,0,1,6,7
El imperio,,0,0,0,0
Gridiron Gang,,0,0,0,0
Scoop,2 nominations,0,0,2,2
Half Nelson,Nominated for 1 Oscar. Another 29 wins & 47 nominations.,1,29,47,77
School for Scoundrels,2 nominations.,0,0,2,2
Scary Movie 4,1 win & 3 nominations,0,1,3,4
Saw III,1 win & 9 nominations.,0,1,9,10
The Break-Up,3 wins & 5 nominations,0,3,5,8
Running with Scissors,3 wins & 7 nominations.,0,3,7,10
World Trade Center,4 wins & 12 nominations.,0,4,12,16
Rocky Balboa,4 nominations,0,0,4,4
Eight Below,2 wins & 2 nominations.,0,2,2,4
Wristcutters: A Love Story,9 wins & 6 nominations.,0,9,6,15
El Perfume: Historia de un asesino,,0,0,0,0
Infamous,3 wins & 2 nominations.,0,3,2,5
Poseidon,Nominated for 1 Oscar. Another 6 nominations.,1,0,6,7
Seraphim Falls,1 win & 1 nomination,0,1,1,2
Flags of our Fathers,Nominated for 2 Oscars. 16 wins & 28 nominations total,2,16,28,46
Over the Hedge,7 wins & 26 nominations.,0,7,26,33
Flicka,3 nominations.,0,0,3,3
Open Season,1 win & 10 nominations,0,1,10,11
One Night with the King,2 wins.,0,2,0,2
Flushed Away,Nominated for 1 BAFTA Film Award. Another 7 wins & 14 nominations.,0,7,15,22
Flyboys,2 wins & 3 nominations.,0,2,3,5
Notes on a Scandal,Nominated for 4 Oscars. Another 15 wins & 70 nominations.,4,15,70,89
16 Blocks,2 nominations.,0,0,2,2
Night at the Museum,2 wins & 8 nominations.,0,2,8,10
Friends with Money,2 wins & 2 nominations.,0,2,2,4
Fur: An Imaginary Portrait of Diane Arbus,2 wins.,0,2,0,2
Zoom,4 wins & 8 nominations.,0,4,8,12
Nacho Libre,1 win & 11 nominations,0,1,11,12
My Super Ex-Girlfriend,1 win & 1 nomination.,0,1,1,2
Garfield 2,,0,0,0,0
Glory Road,2 wins & 3 nominations.,0,2,3,5
Monster House,Nominated for 1 Oscar. Another 4 wins & 22 nominations.,1,4,22,27
Facing the Giants,,0,0,0,0
Pan's Labyrinth,,0,0,0,0
Miss Potter,Nominated for 1 Golden Globe. Another 5 wins & 4 nominations.,0,5,5,10
Factory Girl,1 nomination,0,0,1,1
Failure to Launch,5 nominations,0,0,5,5
Pisando firme,,0,0,0,0
