name,year,budget,gross,adjusted_budget,adjusted_gross
Thanks for Sharing,2012,0,1059239,0,1194033
A Hijacking,2012,0,413276,0,465867
Hyde Park on Hudson,2012,0,6367780,0,7178112
En la casa,2012,0,354244,0,399323
The Samaritan,2012,12000000,1744,13527061,1966
Contraband,2012,25000000,66528000,28181377,74994025
Quartet,2012,11000000,18390117,12399806,20730353
Cosm�polis,2012,20500000,743636,23108729,838267
Terror en Silent Hill 2: la revelaci�n,2012,20000000,17529157,22545101,19759831
Ted,2012,50000000,218815487,56362753,246660867
The Woman in Black,2012,17000000,54333290,19163336,61247476
End of Watch,2012,7000000,41003371,7890785,46221258
Bel Ami,2012,0,119919,0,135179
Red Lights,2012,0,52624,0,59321
John Dies at the End,2012,0,141307,0,159289
Twice Born,2012,0,14947,0,16849
The Bourne Legacy,2012,125000000,113203870,140906883,127609636
The Dark Knight Rises,2012,250000000,448139099,281813767,505167070
Renoir,2012,0,2291047,0,2582594
Killing Them Softly,2012,15000000,15026056,16908826,16938198
Underworld Awakening,2012,70000000,62321039,78907855,70251707
Journey 2: The Mysterious Island,2012,79000000,103860290,89053150,117077038
The Odd Life of Timothy Green,2012,25000000,51853450,28181377,58452064
What Maisie Knew,2012,6000000,1065000,6763530,1200527
A Late Quartet,2012,0,1561577,0,1760296
The Hobbit: An Unexpected Journey,2012,180000000,303003568,202905912,341562308
21 Jump Street,2012,42000000,138447667,47344713,156065834
Being Flynn,2012,0,526322,0,593299
The Watch,2012,68000000,35353000,76653345,39851848
The Vow,2012,30000000,125014030,33817652,140922699
The Bay,2012,0,30474,0,34352
Battleship,2012,209000000,65422625,235596309,73747986
What to Expect When You're Expecting,2012,40000000,41152203,45090203,46389029
Argo,2012,44500000,136025503,50162851,153335438
Cloud Atlas,2012,102000000,27108272,114980017,30557937
Man on a Ledge,2012,42000000,18620000,47344713,20989489
Premium Rush,2012,35000000,20275446,39453927,22855599
The Man with the Iron Fists,2012,15000000,15634090,16908826,17623607
Red Tails,2012,58000000,49876377,65380794,56223399
Arbitrage,2012,12000000,7918283,13527061,8925925
Joyful Noise,2012,25000000,30920167,28181377,34854915
Big Miracle,2012,40000000,20113965,45090203,22673569
Life of Pi,2012,120000000,124987023,135270608,140892255
Vamps,2012,16000000,2964,18036081,3341
To the Wonder,2012,0,586293,0,660902
Sinister,2012,3000000,48086903,3381765,54206205
To Rome with Love,2012,0,16685867,0,18809228
Byzantium,2012,0,84293,0,95020
Wreck-It Ralph,2012,165000000,189422889,185997086,213527912
The Five-Year Engagement,2012,30000000,28835528,33817652,32504995
Beasts of the Southern Wild,2012,1800000,12795746,2029059,14424070
B�squeda implacable 2,2012,45000000,139854287,50726478,157651454
The First Time,2012,2000000,17061,2254510,19232
Mirror Mirror,2012,85000000,64935167,95816681,73198496
The Guilt Trip,2012,40000000,37134215,45090203,41859732
ATM,2012,3000000,2034,3381765,2293
Skyfall,2012,200000000,304360277,225451014,343091665
Into the White,2012,0,547,0,617
The Reluctant Fundamentalist,2012,0,519535,0,585648
About Cherry,2012,2500000,2760,2818138,3111
Gone,2012,0,11653123,0,13136042
No,2012,0,2343664,0,2641907
The Sweeney,2012,0,26345,0,29698
Frankenweenie,2012,39000000,35291068,43962948,39782035
Frances Ha,2012,0,4063238,0,4580306
The Expendables 2,2012,100000000,85017401,112725507,95836296
The Lucky One,2012,25000000,60457138,28181377,68150615
No One Lives,2012,2900000,72140,3269040,81320
Smashed,2012,500000,375981,563628,423826
Abraham Lincoln: Vampire Hunter,2012,69000000,37519139,77780600,42293640
Save the Date,2012,0,3755,0,4233
Todo lo que necesitas es amor,2012,0,1631306,0,1838898
Fun Size,2012,14000000,9402410,15781571,10598914
Savages,2012,45000000,47382068,50726478,53411676
[REC] 3: Genesis,2012,6400000,8973,7214432,10115
Lawless,2012,26000000,37400127,29308632,42159483
Disconnect,2012,10000000,7435950,11272551,8382212
Shadow Dancer,2012,0,99134,0,111749
Lay the Favorite,2012,26350000,20998,29703171,23670
Total Recall,2012,125000000,58877969,140906883,66370489
Django Unchained,2012,100000000,162805434,112725507,183523251
The Lords of Salem,2012,2500000,1163508,2818138,1311570
Ginger & Rosa,2012,0,1005700,0,1133680
Hit and Run,2012,2000000,13746550,2254510,15495868
Bachelorette,2012,3000000,447954,3381765,504958
Seven Psychopaths,2012,15000000,15024049,16908826,16935935
Girl Most Likely,2012,0,1378426,0,1553838
Hitchcock,2012,0,6008677,0,6773312
A Thousand Words,2012,40000000,18438149,45090203,20784497
Silver Linings Playbook,2012,21000000,132092958,23672356,148902456
Mud,2012,10000000,21590086,11272551,24337534
Wanderlust,2012,0,17225675,0,19417729
Diary of a Wimpy Kid: Dog Days,2012,22000000,49008662,24799611,55245263
A Royal Affair,2012,0,1546761,0,1743594
American Reunion,2012,50000000,57011521,56362753,64266526
The Lorax,2012,70000000,214030500,78907855,241266966
Bullet to the Head,2012,55000000,9483821,61999029,10690685
The Impossible,2012,45000000,19019882,50726478,21440258
Seeking a Friend for the End of the World,2012,10000000,6619173,11272551,7461496
Furia de Titanes 2,2012,150000000,83670083,169088260,94317525
Amour,2012,8900000,6739492,10032570,7597127
Snow White and the Huntsman,2012,170000000,155332381,191633361,175099214
Tim and Eric's Billion Dollar Movie,2012,3000000,200803,3381765,226356
On the Road,2012,25000000,717753,28181377,809091
The Iceman,2012,10000000,1939441,11272551,2186245
Act of Valor,2012,12000000,70012847,13527061,78922337
Jack Reacher,2012,60000000,80070736,67635304,90260143
Men in Black 3,2012,225000000,179020854,253632390,201802165
This Means War,2012,65000000,54760791,73271579,61729379
Hope Springs,2012,30000000,63536011,33817652,71621290
Liberal Arts,2012,0,317190,0,357554
One for the Money,2012,40000000,26414527,45090203,29775909
The Dictator,2012,65000000,59650222,73271579,67241015
The Three Stooges,2012,0,44338224,0,49980488
V/H/S,2012,0,99770,0,112466
Casa de mi Padre,2012,6000000,5895238,6763530,6645437
Rust and Bone,2012,0,2061449,0,2323779
Dredd,2012,35000000,13414714,39453927,15121804
Spring Breakers,2012,5000000,14123773,5636275,15921095
Safety Not Guaranteed,2012,750000,4010957,845441,4521372
Not Fade Away,2012,20000000,607327,22545101,684612
The Raven,2012,26000000,16008272,29308632,18045406
La bicicleta verde,2012,0,1347578,0,1519064
Flight,2012,31000000,93772375,34944907,105705385
Upside Down,2012,60000000,102118,67635304,115113
Celeste & Jesse Forever,2012,0,3094687,0,3488502
At Any Price,2012,0,379791,0,428121
The Devil Inside,2012,750000,53261944,845441,60039796
"For a Good Time, Call...",2012,850000,1243961,958167,1402261
Here Comes the Boom,2012,42000000,45290318,47344713,51053740
LOL,2012,11000000,46500,12399806,52417
Diary of a Wimpy Kid: Rodrick Rules,2011,21000000,52698535,24162244,60634041
Young Adult,2011,12000000,16311571,13806997,18767817
The Innkeepers,2011,750000,77501,862937,89171
"Crazy, Stupid, Love.",2011,50000000,84351197,57529152,97053057
Another Earth,2011,100000,1316074,115058,1514252
The Inbetweeners Movie,2011,0,36000,0,41421
360,2011,0,99603,0,114602
Winnie the Pooh,2011,30000000,26692846,34517491,30712336
50/50,2011,8000000,35014192,9204664,40286736
The Ides of March,2011,12500000,40962534,14382288,47130797
Spy Kids 4: All the Time in the World,2011,27000000,38538188,31065742,44341386
The Intouchables,2011,0,13182281,0,15167309
Like Crazy,2011,250000,3413908,287646,3927985
Coriolanus,2011,0,756452,0,870361
Sherlock Holmes: A Game of Shadows,2011,125000000,186848418,143822881,214984622
Limitless,2011,27000000,79249455,31065742,91183079
The Muppets,2011,45000000,88631237,51776237,101977599
Rampart,2011,12000000,969239,13806997,1115190
Tower Heist,2011,75000000,78046570,86293729,89799060
Hugo,2011,150000000,73864507,172587457,84987250
Cowboys & Aliens,2011,163000000,100240551,187545037,115335079
Larry Crowne,2011,30000000,35608245,34517491,40970243
Dolphin Tale,2011,37000000,72286779,42571573,83171942
Kung Fu Panda 2,2011,150000000,165249063,172587457,190132770
Rango,2011,135000000,123477607,155328711,142071241
Drive,2011,15000000,35060689,17258746,40340234
Take Shelter,2011,5000000,1729969,5752915,1990473
Courageous,2011,2000000,34522221,2301166,39720682
Machine Gun Preacher,2011,30000000,538690,34517491,619808
Real Steel,2011,110000000,85468508,126564135,98338616
Take This Waltz,2011,0,1237514,0,1423863
Anonymous,2011,30000000,4463292,34517491,5135388
Alvin and the Chipmunks: Chipwrecked,2011,75000000,133110742,86293729,153154963
Thor,2011,150000000,181030624,172587457,208290767
Rio,2011,90000000,143619809,103552474,165246517
Bad Teacher,2011,20000000,100292856,23011661,115395260
Drive Angry,2011,50000000,10706786,57529152,12319046
The Iron Lady,2011,13000000,30017992,14957580,34538193
El esp�a que sab�a demasiado,2011,0,24149393,0,27785882
Scream 4,2011,40000000,38180928,46023322,43930328
Hop,2011,63000000,108085305,72486732,124361120
Super 8,2011,50000000,127004179,57529152,146128855
La piel que habito,2011,13000000,3185812,14957580,3665541
The Mechanic,2011,40000000,29121498,46023322,33506702
Bernie,2011,5000000,9203192,5752915,10589037
Sanctum,2011,30000000,23070045,34517491,26544003
A Good Old Fashioned Orgy,2011,0,154604,0,177885
Transformers: Dark of the Moon,2011,195000000,352390543,224363694,405454585
Sucker Punch,2011,82000000,36392502,94347810,41872596
Something Borrowed,2011,35000000,39046489,40270407,44926228
Beastly,2011,17000000,27865571,19559912,32061654
X-Men: First Class,2011,160000000,146408305,184093288,168454914
30 minutos o menos,2011,28000000,37053924,32216325,42633617
Salmon Fishing in the Yemen,2011,0,9025107,0,10384135
Take Me Home Tonight,2011,23000000,6923891,26463410,7966512
Kill the Irishman,2011,12000000,1187711,13806997,1366560
Silent House,2011,2000000,12555230,2301166,14445835
A Dangerous Method,2011,0,5702083,0,6560720
Take Me Home,2011,0,15374,0,17689
Horrible Bosses,2011,35000000,117538559,40270407,135237873
Red Riding Hood,2011,42000000,37662162,48324488,43333445
Straw Dogs,2011,25000000,10324441,28764576,11879127
Red State,2011,4000000,1104682,4602332,1271028
Source Code,2011,32000000,54712227,36818658,62950961
Seeking Justice,2011,17000000,41081,19559912,47267
Killer Joe,2011,11000000,1987762,12656414,2287085
You're Next,2011,1000000,18474268,1150583,21256180
Sound of My Voice,2011,0,405614,0,466693
Harry Potter and the Deathly Hallows: Part 2,2011,125000000,381011219,143822881,438385049
Soul Surfer,2011,18000000,43853424,20710495,50457006
Killer Elite,2011,70000000,25124986,80540813,28908383
This Must Be the Place,2011,0,142242,0,163661
Rise of the Planet of the Apes,2011,93000000,176760185,107004223,203377272
Season of the Witch,2011,40000000,24827228,46023322,28565788
Dream House,2011,55000000,21283440,63282068,24488365
The Hunter,2011,0,176432,0,203000
Jumping the Broom,2011,6600000,37295394,7593848,42911448
Fast Five,2011,125000000,209837675,143822881,241435671
The Decoy Bride,2011,0,542,0,624
Immortals,2011,75000000,83504017,86293729,96078306
The Deep Blue Sea,2011,0,1124786,0,1294160
Catch .44,2011,7000000,1887,8054081,2171
The Descendants,2011,20000000,82584160,23011661,95019934
The Devil's Double,2011,0,1357042,0,1561390
One Day,2011,15000000,13843771,17258746,15928408
Goon,2011,0,4168144,0,4795796
The Rite,2011,37000000,33047633,42571573,38024046
Cars 2,2011,200000000,191452396,230116609,220281881
We Need to Talk About Kevin,2011,7000000,1738692,8054081,2000510
The Dilemma,2011,70000000,48475290,80540813,55774847
The Thing,2011,38000000,16928670,43722156,19477841
Footloose,2011,24000000,51802742,27613993,59603357
Zookeeper,2011,80000000,80360843,92046644,92461824
Atlas Shrugged: Part I,2011,20000000,4752353,23011661,5467977
Attack the Block,2011,13000000,1024175,14957580,1178398
Melancol�a,2011,7400000,3029870,8514315,3486117
J. Edgar,2011,35000000,37306030,40270407,42923686
Cedar Rapids,2011,0,6857503,0,7890127
The Roommate,2011,16000000,37300107,18409329,42916871
The Change-Up,2011,52000000,37081475,59830318,42665316
Battle Los Angeles,2011,70000000,83552429,80540813,96134008
"Peace, Love, & Misunderstanding",2011,0,539896,0,621195
Paul,2011,40000000,37412945,46023322,43046700
The Raid: Redemption,2011,1100000,4105123,1265641,4723285
The Twilight Saga: Breaking Dawn - Part 1,2011,110000000,281287133,126564135,323644207
Our Idiot Brother,2011,5000000,24814830,5752915,28551523
Paranormal Activity 3,2011,5000000,104007828,5752915,119669644
Final Destination 5,2011,40000000,42587643,46023322,49000620
Chalet Girl,2011,0,1201,0,1382
The Tree of Life,2011,32000000,13303319,36818658,15306573
Green Lantern,2011,200000000,116601172,230116609,134159332
The Ledge,2011,10000000,5176,11505830,5955
Jack and Jill,2011,79000000,74158157,90896061,85325118
The Darkest Hour,2011,30000000,21426805,34517491,24653319
In Time,2011,40000000,37520095,46023322,43169985
The Hangover Part II,2011,80000000,254464305,92046644,292782315
Moneyball,2011,50000000,75605492,57529152,86990397
Bullhead,2011,0,151840,0,174705
A Very Harold & Kumar 3D Christmas,2011,19000000,35033759,21861078,40309249
Gnomeo & Juliet,2011,36000000,99967670,41420990,115021106
Mission: Impossible - Ghost Protocol,2011,145000000,209397903,166834542,240929677
Violet & Daisy,2011,8000000,17186,9204664,19774
A Separation,2011,500000,7098492,575292,8167405
10 Years,2011,0,203373,0,233998
Mr. Popper's Penguins,2011,55000000,68224452,63282068,78497898
My Week with Marilyn,2011,0,14600347,0,16798912
W.E.,2011,15000000,583455,17258746,671313
The Smurfs,2011,110000000,142614158,126564135,164089432
Ghost Rider: Spirit of Vengeance,2011,57000000,51774002,65583234,59570289
�Sabes qui�n viene?,2011,25000000,2547047,28764576,2930589
The Green Hornet,2011,120000000,98780042,138069966,113654642
Bridesmaids,2011,32500000,169106725,37393949,194571331
The Grey,2011,25000000,51580136,28764576,59347230
War Horse,2011,66000000,79884879,75938481,91914187
God Bless America,2011,0,122029,0,140404
The Eagle,2011,25000000,19490041,28764576,22424911
In the Land of Blood and Honey,2011,13000000,303877,14957580,349636
We Bought a Zoo,2011,50000000,75624550,57529152,87012325
Captain America: The First Avenger,2011,140000000,176654505,161081627,203255679
"Big Mommas: Like Father, Like Son",2011,32000000,37915414,36818658,43624833
The Sitter,2011,0,30538669,0,35137275
Midnight in Paris,2011,17000000,56816662,19559912,65372288
No Strings Attached,2011,25000000,70662220,28764576,81302752
Intruders,2011,13000000,69136,14957580,79547
Water for Elephants,2011,38000000,58709717,43722156,67550405
The Lincoln Lawyer,2011,40000000,58009200,46023322,66744402
From Up on Poppy Hill,2011,22000000,1002895,25312827,1153914
Abduction,2011,35000000,28087155,40270407,32316604
New Year's Eve,2011,56000000,54544638,64432651,62758136
Friends with Benefits,2011,35000000,55802754,40270407,64205703
Friends with Kids,2011,10000000,7250054,11505830,8341789
The Flowers of War,2011,94000000,9213,108154806,10600
Warrior,2011,25000000,13657115,28764576,15713645
Fright Night,2011,30000000,18298649,34517491,21054115
Butter,2011,0,70931,0,81612
The Help,2011,25000000,169708112,28764576,195263277
Shame,2011,6500000,4000304,7478790,4602682
Aislados,2011,3000000,22000,3451749,25313
I Am Number Four,2011,60000000,55100437,69034983,63397629
The Adjustment Bureau,2011,50200000,62495645,57759269,71906430
Margin Call,2011,3500000,5354039,4027041,6160267
The Rum Diary,2011,45000000,13100042,51776237,15072686
Margaret,2011,14000000,46495,16108163,53496
A Little Bit of Heaven,2011,0,10011,0,11518
Pirates of the Caribbean: On Stranger Tides,2011,250000000,241071802,287645762,277373128
Arthur,2011,40000000,33035397,46023322,38009968
Apollo 18,2011,5000000,17686929,5752915,20350281
Shark Night 3D,2011,25000000,18872522,28764576,21714404
Agentes Secretos,2011,23000000,18942396,26463410,21794800
Johnny English Reborn,2011,45000000,8305970,51776237,9556708
Colombiana,2011,40000000,36665854,46023322,42187110
Extremely Loud & Incredibly Close,2011,40000000,31847881,46023322,36643632
The Big Year,2011,41000000,7204138,47173905,8288959
The Guard,2011,6000000,5359774,6903498,6166865
Hall Pass,2011,36000000,45060734,41420990,51846117
The Best Exotic Marigold Hotel,2011,10000000,46412041,11505830,53400908
Albert Nobbs,2011,8000000,3014696,9204664,3468658
The Beaver,2011,21000000,970816,24162244,1117004
Prom,2011,8000000,10130219,9204664,11655658
Princesa por accidente,2011,20000000,23186769,23011661,26678303
The Art of Getting By,2011,0,1429260,0,1644482
What's Your Number?,2011,20000000,14008193,23011661,16117589
Hanna,2011,30000000,40259119,34517491,46321460
Conan the Barbarian,2011,90000000,21295021,103552474,24501690
The Artist,2011,15000000,44671682,17258746,51398480
Happy Feet Two,2011,135000000,64006466,155328711,73644755
Puncture,2011,0,67071,0,77171
Texas Killing Fields,2011,0,45282,0,52101
Perfect Sense,2011,0,2959,0,3405
Contagion,2011,60000000,75658097,69034983,87050924
Puss in Boots,2011,130000000,149260504,149575796,171736605
Martha Marcy May Marlene,2011,0,2981638,0,3430622
Hysteria,2011,0,1800000,0,2071049
Just Go with It,2011,80000000,103028109,92046644,118542396
Your Highness,2011,49900000,21596445,57414094,24848503
Ramona and Beezus,2010,15000000,26161406,17803523,31051013
The Killer Inside Me,2010,13000000,214966,15429720,255143
The King's Speech,2010,15000000,138797449,17803523,164738905
A Nightmare on Elm Street,2010,35000000,63075011,41541554,74863827
Going the Distance,2010,32000000,17804299,37980849,21131950
Scott Pilgrim vs. the World,2010,60000000,31494270,71214092,37380597
Vampires Suck,2010,20000000,36661504,23738031,43513595
The Runaways,2010,10000000,3571735,11869015,4239298
Let Me In,2010,20000000,12134420,23738031,14402362
Frankie & Alice,2010,0,693181,0,822738
RED,2010,58000000,90380162,68840289,107272353
Sex and the City 2,2010,100000000,95347692,118690153,113168322
Hesher,2010,7000000,382946,8308311,454519
The Kids Are All Right,2010,3500000,20811365,4154155,24701041
Letters to Juliet,2010,30000000,53032453,35607046,62944300
Prince of Persia: The Sands of Time,2010,200000000,90759676,237380306,107722798
Saw 3D: The Final Chapter,2010,20000000,45710178,23738031,54253480
The Losers,2010,25000000,23580735,29672538,27988010
Four Lions,2010,0,304137,0,360981
Never Let Me Go,2010,15000000,2434652,17803523,2889692
Blue Valentine,2010,3500000,9737892,4154155,11557919
Red Hill,2010,0,20960,0,24877
MacGruber,2010,10000000,8460995,11869015,10042368
Alice in Wonderland,2010,200000000,334191110,237380306,396651940
The Karate Kid,2010,40000000,176591618,47476061,209596862
Furry Vengeance,2010,35000000,17596256,41541554,20885023
My Soul to Take,2010,25000000,14637490,29672538,17373259
Beyond the Black Rainbow,2010,0,56129,0,66620
When in Rome,2010,55000000,32669555,65279584,38775545
Don't Be Afraid of the Dark,2010,25000000,24042490,29672538,28536068
Machete,2010,10500000,26593646,12462466,31564039
Nanny McPhee Returns,2010,35000000,29197642,41541554,34654726
Legion,2010,26000000,40168080,30859440,47675556
Valentine's Day,2010,52000000,110485654,61718880,131135592
Happythankyoumoreplease,2010,0,215576,0,255867
Vanishing on 7th Street,2010,10000000,22197,11869015,26346
Sepultado,2010,3000000,1028658,3560705,1220916
Secretariat,2010,35000000,59713955,41541554,70874585
Legend of the Guardians: The Owls of Ga'Hoole,2010,80000000,55675313,94952122,66081114
Get Him to the Greek,2010,0,60974475,0,72370698
Waiting for Forever,2010,0,25517,0,30286
Wall Street: Money Never Sleeps,2010,70000000,52474616,83083107,62282202
Toy Story 3,2010,200000000,415004880,237380306,492569927
My Name Is Khan,2010,12000000,4018695,14242818,4769795
Monsters,2010,0,237301,0,281653
Secretos Peligrosos,2010,0,1120914,0,1330415
A Little Help,2010,0,85789,0,101823
Hereafter,2010,50000000,32746941,59345076,38867394
Paranormal Activity 2,2010,3000000,84752907,3560705,100593355
Gulliver's Travels,2010,112000000,42779261,132932971,50774770
Resident Evil: Afterlife,2010,60000000,60128566,71214092,71366687
Trollhunter,2010,0,252652,0,299873
Dylan Dog: Dead of Night,2010,20000000,1183354,23738031,1404525
Piranha 3D,2010,24000000,25003155,28485637,29676283
Little Fockers,2010,100000000,148383780,118690153,176116935
Greenberg,2010,0,4216789,0,5004913
Green Zone,2010,100000000,35053660,118690153,41605243
The Romantics,2010,4500000,103280,5341057,122583
Wild Target,2010,8000000,117190,9495212,139093
Made in Dagenham,2010,7200000,1094798,8545691,1299417
Marmaduke,2010,50000000,33644788,59345076,39933050
The Last Song,2010,20000000,62950384,23738031,74715907
Black Swan,2010,13000000,106954678,15429720,126944671
Welcome to the Rileys,2010,0,152857,0,181426
Easy A,2010,8000000,58401464,9495212,69316787
Par�s en la Mira,2010,52000000,23979741,61718880,28461591
Easy Money,2010,0,188870,0,224170
Passion Play,2010,8000000,3669,9495212,4355
Robin Hood,2010,200000000,105269730,237380306,124944804
Eat Pray Love,2010,60000000,80574010,71214092,95633416
Grown Ups,2010,80000000,162001186,94952122,192279456
True Grit,2010,38000000,171243005,45102258,203248585
Alpha and Omega,2010,20000000,25077977,23738031,29765089
Edge of Darkness,2010,80000000,43313890,94952122,51409322
London Boulevard,2010,25000000,6911,29672538,8203
The Man from Nowhere,2010,0,6460,0,7667
Due Date,2010,65000000,100539043,77148599,119329944
Rubber,2010,500000,98017,593451,116337
The Last Airbender,2010,150000000,131564731,178035229,156154381
For Colored Girls,2010,0,37721949,0,44772239
Biutiful,2010,0,5101237,0,6054666
Salt,2010,110000000,118311368,130559168,140423944
Remember Me,2010,16000000,19068240,18990424,22632123
The Last Circus,2010,0,40029,0,47510
Predators,2010,40000000,52000688,47476061,61719696
Everything Must Go,2010,5000000,2711210,5934508,3217939
Harry Potter and the Deathly Hallows: Part 1,2010,0,295983305,0,351303038
El �ltimo exorcismo,2010,1800000,41034350,2136423,48703733
Faster,2010,24000000,23240020,28485637,27583615
Elektra Luxx,2010,0,10822,0,12845
Winter's Bone,2010,2000000,6531503,2373803,7752251
Hatchet II,2010,800000,62000,949521,73588
Twelve,2010,0,181591,0,215531
Love Ranch,2010,25000000,134904,29672538,160118
Flipped,2010,14000000,1752214,16616621,2079705
All Good Things,2010,0,578382,0,686482
Extraordinary Measures,2010,31000000,11854694,36793947,14070354
Life as We Know It,2010,38000000,53374681,45102258,63350491
Henry's Crime,2010,12000000,101882,14242818,120924
Love & Other Drugs,2010,30000000,32367005,35607046,38416448
Megamind,2010,130000000,148415853,154297199,176155003
Black Death,2010,0,22554,0,26769
Repo Men,2010,32000000,13794835,37980849,16373111
Meek's Cutoff,2010,0,977600,0,1160315
Unstoppable,2010,100000000,81562942,118690153,96807181
Tucker and Dale vs Evil,2010,0,223838,0,265674
Rabbit Hole,2010,5000000,2229058,5934508,2645672
Leap Year,2010,19000000,25918920,22551129,30763206
In a Better World,2010,0,1008098,0,1196513
The Book of Eli,2010,80000000,94835059,94952122,112559877
The Ghost Writer,2010,45000000,15541549,53410569,18446288
The Other Guys,2010,100000000,119219978,118690153,141502374
Cyrus,2010,7000000,7455447,8308311,8848881
Jonah Hex,2010,47000000,10539414,55784372,12509247
Submarine,2010,0,466702,0,553929
Clash of the Titans,2010,125000000,163214888,148362691,193720000
Animal Kingdom,2010,0,1044039,0,1239171
Dear John,2010,25000000,80014842,29672538,94969738
The Tempest,2010,20000000,277943,23738031,329891
Iron Man 2,2010,200000000,312433331,237380306,370827599
The Fighter,2010,25000000,93617009,29672538,111114171
The Town,2010,37000000,92186262,43915357,109416015
The Bounty Hunter,2010,40000000,67061228,47476061,79595074
You Again,2010,20000000,25702053,23738031,30505806
The Wolfman,2010,150000000,61979680,178035229,73563777
Somewhere,2010,7000000,1768416,8308311,2098936
13 Assassins,2010,6000000,802524,7121409,952517
Yogi Bear,2010,80000000,100246011,94952122,118982144
Super,2010,2500000,322157,2967254,382369
Centurion,2010,12000000,122288,14242818,145144
Incendies,2010,6800000,6857096,8070930,8138698
The Tourist,2010,100000000,67631157,118690153,80271524
La llave de Sarah,2010,0,7691700,0,9129290
The Sorcerer's Apprentice,2010,150000000,63150991,178035229,74954008
I Spit on Your Grave,2010,2000000,93051,2373803,110442
She's Out of My League,2010,20000000,31584722,23738031,37487955
The A-Team,2010,110000000,77222099,130559168,91655027
Step Up 3D,2010,30000000,42400223,35607046,50324890
Stone,2010,22000000,1796024,26111834,2131704
The American,2010,20000000,35606376,23738031,42261262
127 Hours,2010,18000000,18335230,21364228,21762113
It's Kind of a Funny Story,2010,8000000,6350058,9495212,7536894
Cats & Dogs: The Revenge of Kitty Galore,2010,85000000,43585753,100886630,51731997
Hot Tub Time Machine,2010,36000000,50287556,42728455,59686377
The Way Back,2010,0,2701859,0,3206841
The Way,2010,0,4430650,0,5258745
The Expendables,2010,80000000,103068524,94952122,122332189
Date Night,2010,55000000,98711404,65279584,117160716
The Social Network,2010,40000000,96962694,47476061,115085170
The Debt,2010,20000000,31177548,23738031,37004679
Inception,2010,160000000,292576195,189904245,347259133
The Warrior's Way,2010,45000000,5664251,53410569,6722908
Casino Jack,2010,15000000,1039869,17803523,1234222
The Back-up Plan,2010,35000000,37490007,41541554,44496947
TRON: Legacy,2010,170000000,172062763,201773260,204221557
Conviction,2010,12500000,6783129,14836269,8050906
The Perfect Host,2010,500000,48430,593451,57482
Insidious,2010,1500000,54009150,1780352,64103543
Stake Land,2010,650000,18469,771486,21921
Knight and Day,2010,117000000,76423035,138867479,90706617
How Do You Know,2010,120000000,30212620,142428184,35859405
The Switch,2010,19000000,27758465,22551129,32946565
Ip Man 2,2010,0,205675,0,244116
Tamara Drewe,2010,0,560101,0,664785
Takers,2010,20000000,57744720,23738031,68537297
Tangled,2010,260000000,200821936,308594398,238355863
The Company Men,2010,15000000,4439063,17803523,5268731
Devil,2010,10000000,33583175,11869015,39859922
Dinner for Schmucks,2010,0,73026337,0,86675071
The Spy Next Door,2010,28000000,24268828,33233243,28804709
Kick-Ass,2010,30000000,48071303,35607046,57055903
Diary of a Wimpy Kid,2010,15000000,64003625,17803523,75966000
Shutter Island,2010,80000000,128012934,94952122,151938747
Another Year,2010,0,3205706,0,3804857
Killers,2010,75000000,47059963,89017615,55855542
Charlie St. Cloud,2010,44000000,31162545,52223667,36986872
Last Night,2010,0,98986,0,117487
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,155000000,104386950,183969737,123897031
Shrek Forever After,2010,165000000,238371987,195838752,282924076
How to Train Your Dragon,2010,165000000,217581231,195838752,258247496
You Will Meet a Tall Dark Stranger,2010,22000000,3247816,26111834,3854838
The Twilight Saga: Eclipse,2010,68000000,300531751,80709304,356701595
Country Strong,2010,15000000,20218921,17803523,23997868
The Crazies,2010,20000000,39123589,23738031,46435848
Burlesque,2010,55000000,39440655,65279584,46812174
Skyline,2010,10000000,21371425,11869015,25365777
Cop Out,2010,37000000,44875481,43915357,53262777
Burke and Hare,2010,10000000,4833,11869015,5736
Beginners,2010,3200000,5790894,3798085,6873221
The Next Three Days,2010,35000000,21148651,41541554,25101366
The Secret World of Arrietty,2010,23000000,19202743,27298735,22791765
Dirty Girl,2010,4000000,53630,4747606,63654
I'm Still Here,2010,0,408719,0,485109
Tooth Fairy,2010,48000000,60022256,56971273,71240507
La versi�n de mi vida,2010,0,7502560,0,8904800
The Conspirator,2010,25000000,11538204,29672538,13694712
Despicable Me,2010,69000000,251513985,81896206,298522334
Taking Woodstock,2009,30000000,7443007,36191100,8979020
I Am Love,2009,0,5005465,0,6038443
Obsessed,2009,20000000,68261644,24127400,82348799
The Disappearance of Alice Creed,2009,800000,166980,965096,201440
Public Enemies,2009,100000000,97104620,120637000,117144100
Observe and Report,2009,18000000,23993605,21714660,28945165
Crazy Heart,2009,7000000,39462438,8444590,47606301
G-Force,2009,150000000,119436770,180955500,144084936
Push,2009,38000000,31806100,45842060,38369925
Confessions of a Shopaholic,2009,0,44277350,0,53414867
Crank: High Voltage,2009,20000000,13630226,24127400,16443096
Ondine,2009,12000000,548934,14476440,662218
Old Dogs,2009,35000000,49492060,42222950,59705736
Case 39,2009,26000000,13248477,31365620,15982565
Coraline,2009,60000000,75286229,72382200,90823048
Race to Witch Mountain,2009,65000000,67172594,78414050,81035002
